GO_ID,Python_Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,Python_FDR,R_Name,R_Adjusted_P
GO:0051054,positive regulation of DNA metabolic process,BP,e,3,5,265,20362,2.1378966110775237e-05,0.0087364516218562,positive regulation of DNA metabolic process,0.0003635748296985
GO:0010948,negative regulation of cell cycle process,BP,e,3,5,274,20362,2.3625043511069925e-05,0.0094686448425809,negative regulation of cell cycle process,1.57775879504088e-05
GO:0007095,mitotic G2 DNA damage checkpoint signaling,BP,e,2,5,33,20362,2.539342732857345e-05,0.0099853663953735,mitotic G2 DNA damage checkpoint signaling,0.0003858789692833
GO:0030330,"DNA damage response, signal transduction by p53 class mediator",BP,e,2,5,39,20362,3.5616350301649896e-05,0.0134960064843033,"DNA damage response, signal transduction by p53 class mediator",2.11567092241395e-05
GO:0045740,positive regulation of DNA replication,BP,e,2,5,40,20362,3.748720890787739e-05,0.013706507383317,positive regulation of DNA replication,0.0005182482379981
GO:0048146,positive regulation of fibroblast proliferation,BP,e,2,5,40,20362,3.748720890787739e-05,0.013706507383317,positive regulation of fibroblast proliferation,0.0008719329602703
GO:0045786,negative regulation of cell cycle,BP,e,3,5,346,20362,4.7425912991730856e-05,0.0170414388389769,negative regulation of cell cycle,2.41874237394443e-05
GO:0090398,cellular senescence,BP,e,2,5,50,20362,5.88162742780588e-05,0.0207761012242207,cellular senescence,4.09303645622793e-05
GO:0044818,mitotic G2/M transition checkpoint,BP,e,2,5,51,20362,6.121091799112507e-05,0.0212616123642172,mitotic G2/M transition checkpoint,0.0008064773657153
GO:1902895,positive regulation of miRNA transcription,BP,e,2,5,56,20362,7.389683591129369e-05,0.0252472779873323,positive regulation of miRNA transcription,0.0008543732365106
GO:0006289,nucleotide-excision repair,BP,e,2,5,58,20362,7.930353278202677e-05,0.0262343639160352,nucleotide-excision repair,0.0016220276965101
GO:1901976,regulation of cell cycle checkpoint,BP,e,2,5,58,20362,7.930353278202677e-05,0.0262343639160352,regulation of cell cycle checkpoint,0.0006462161394429
GO:0000152,nuclear ubiquitin ligase complex,CC,e,2,5,61,20362,8.7769293096654e-05,0.028141535960421,nuclear ubiquitin ligase complex,0.0005844071239481
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,BP,e,2,5,62,20362,9.068601415528948e-05,0.0282087644926923,intrinsic apoptotic signaling pathway in response to DNA damage,8.70475746599325e-07
GO:2000630,positive regulation of miRNA metabolic process,BP,e,2,5,65,20362,9.97203829217433e-05,0.0305628308892948,positive regulation of miRNA metabolic process,0.0011019946819922
GO:0007265,Ras protein signal transduction,BP,e,2,5,67,20362,0.0001059799925641,0.0315532717861249,Ras protein signal transduction,0.002924370190797
GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,BP,e,2,5,67,20362,0.0001059799925641,0.0315532717861249,negative regulation of G1/S transition of mitotic cell cycle,0.001339490226684
GO:2000379,positive regulation of reactive oxygen species metabolic process,BP,e,2,5,68,20362,0.0001091807642774,0.0320483987085431,positive regulation of reactive oxygen species metabolic process,0.001278134559498
GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,BP,e,2,5,70,20362,0.0001157241710972,0.0334973256921832,negative regulation of G2/M transition of mitotic cell cycle,0.0013323641646446
GO:0002039,p53 binding,MF,e,2,5,71,20362,0.0001190667780533,0.0339927496083676,p53 binding,0.0044386915427262
GO:1902750,negative regulation of cell cycle G2/M phase transition,BP,e,2,5,72,20362,0.000122456635277,0.0344880910244555,negative regulation of cell cycle G2/M phase transition,0.001339490226684
GO:0072331,signal transduction by p53 class mediator,BP,e,2,5,74,20362,0.0001293780442494,0.035951570936038,signal transduction by p53 class mediator,0.0001493848995772
GO:1902807,negative regulation of cell cycle G1/S phase transition,BP,e,2,5,75,20362,0.0001329095678645,0.0359736143359175,negative regulation of cell cycle G1/S phase transition,0.0015117582019726
GO:1902893,regulation of miRNA transcription,BP,e,2,5,76,20362,0.00013648828548,0.0360069918695026,regulation of miRNA transcription,0.001339490226684
GO:0034644,cellular response to UV,BP,e,2,5,77,20362,0.0001401141830344,0.0360508603533445,cellular response to UV,0.0018117573385322
GO:2000278,regulation of DNA biosynthetic process,BP,e,2,5,82,20362,0.0001589508778797,0.0394368481653732,regulation of DNA biosynthetic process,0.0016042804666549
GO:0070063,RNA polymerase binding,MF,e,2,5,82,20362,0.0001589508778797,0.0394368481653732,RNA polymerase binding,0.0335613342686062
GO:2000628,regulation of miRNA metabolic process,BP,e,2,5,89,20362,0.0001872998733502,0.0443581438692375,regulation of miRNA metabolic process,0.0017161144042763
GO:0010389,regulation of G2/M transition of mitotic cell cycle,BP,e,2,5,95,20362,0.0002134320908406,0.0499790809574138,regulation of G2/M transition of mitotic cell cycle,0.0024831053220655
