ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0045739,positive regulation of DNA repair,2/5,143/18860,0.013986013986014,52.7552447552448,10.1166174842842,0.0005624154484071,0.0039430213502459,0.0009845487826807,BRCA1/EGFR,2
BP,GO:0000086,G2/M transition of mitotic cell cycle,2/5,145/18860,0.0137931034482759,52.0275862068965,10.0444271791751,0.0005781904098077,0.0040100302615701,0.0010012805059489,BRCA1/CDKN1A,2
BP,GO:0007098,centrosome cycle,2/5,150/18860,0.0133333333333333,50.2933333333333,9.87024622992181,0.0006185669627237,0.0042444222442211,0.0010598067782388,BRCA1/BRCA2,2
BP,GO:0031023,microtubule organizing center organization,2/5,163/18860,0.0122699386503067,46.2822085889571,9.45510820175395,0.0007298112587923,0.0049550343360112,0.0012372423556258,BRCA1/BRCA2,2
BP,GO:0000723,telomere maintenance,2/5,166/18860,0.0120481927710843,45.4457831325301,9.3662242525673,0.0007567652685046,0.005032098950366,0.0012564849276311,TP53/BRCA2,2
BP,GO:0043086,negative regulation of catalytic activity,2/5,166/18860,0.0120481927710843,45.4457831325301,9.3662242525673,0.0007567652685046,0.005032098950366,0.0012564849276311,TP53/CDKN1A,2
BP,GO:0071897,DNA biosynthetic process,2/5,168/18860,0.0119047619047619,44.9047619047619,9.30828013602982,0.0007750012204259,0.0051007733385178,0.0012736325104744,TP53/CDKN1A,2
BP,GO:0006261,DNA-templated DNA replication,2/5,171/18860,0.0116959064327485,44.1169590643275,9.22325488921183,0.0008027547180315,0.0052300686174782,0.0013059167661757,BRCA1/BRCA2,2
BP,GO:0010563,negative regulation of phosphorus metabolic process,2/5,174/18860,0.0114942528735632,43.3563218390805,9.14041165714405,0.0008309872813559,0.005306799965095,0.0013250761234753,TP53/CDKN1A,2
BP,GO:0045936,negative regulation of phosphate metabolic process,2/5,174/18860,0.0114942528735632,43.3563218390805,9.14041165714405,0.0008309872813559,0.005306799965095,0.0013250761234753,TP53/CDKN1A,2
BP,GO:0006606,protein import into nucleus,2/5,178/18860,0.0112359550561798,42.3820224719101,9.0331889280909,0.0008693751001762,0.0054975190158206,0.0013726975265941,TP53/CDKN1A,2
BP,GO:0051170,import into nucleus,2/5,184/18860,0.0108695652173913,41.0,8.87887688863354,0.0009285497121887,0.0058147045083667,0.0014518968417464,TP53/CDKN1A,2
BP,GO:0032200,telomere organization,2/5,193/18860,0.0103626943005181,39.0880829015544,8.66087097097192,0.001020888189013,0.0063314700183981,0.0015809300902732,TP53/BRCA2,2
BP,GO:0000724,double-strand break repair via homologous recombination,2/5,195/18860,0.0102564102564103,38.6871794871795,8.61445900549537,0.0010419896147516,0.0064007933477599,0.0015982397098445,BRCA1/BRCA2,2
BP,GO:0009267,cellular response to starvation,2/5,196/18860,0.0102040816326531,38.4897959183673,8.5915161957786,0.0010526195549935,0.0064050906884039,0.0015993127300298,TP53/CDKN1A,2
BP,GO:0000725,recombinational repair,2/5,201/18860,0.0099502487562189,37.5323383084577,8.47934647197952,0.001106560836325,0.0066703900881273,0.0016655563989938,BRCA1/BRCA2,2
BP,GO:0071356,cellular response to tumor necrosis factor,2/5,226/18860,0.0088495575221238,33.3805309734513,7.97473396556637,0.0013959896428326,0.0083371603669171,0.0020817389410662,TP53/BRCA1,2
BP,GO:0001934,positive regulation of protein phosphorylation,2/5,231/18860,0.0086580086580086,32.6580086580087,7.88362351410192,0.0014578047538538,0.0086264593232636,0.0021539751553804,CDKN1A/EGFR,2
BP,GO:0042594,response to starvation,2/5,235/18860,0.0085106382978723,32.1021276595745,7.81280444615775,0.0015081963646685,0.0088378051829106,0.0022067469489764,TP53/CDKN1A,2
BP,GO:0006282,regulation of DNA repair,2/5,236/18860,0.0084745762711864,31.9661016949153,7.7953769350659,0.0015209246128729,0.0088378051829106,0.0022067469489764,BRCA1/EGFR,2
BP,GO:0034612,response to tumor necrosis factor,2/5,244/18860,0.0081967213114754,30.9180327868852,7.65977170379175,0.001624624886263,0.0093560986753538,0.0023361617255473,TP53/BRCA1,2
BP,GO:0042327,positive regulation of phosphorylation,2/5,254/18860,0.0078740157480315,29.7007874015748,7.49920500024237,0.0017589261370101,0.010039888127182,0.002506899850606,CDKN1A/EGFR,2
BP,GO:0031669,cellular response to nutrient levels,2/5,282/18860,0.0070921985815602,26.7517730496454,7.09517767199692,0.0021624693274256,0.012235023826224,0.0030550120692162,TP53/CDKN1A,2
BP,GO:0042113,B cell activation,2/5,291/18860,0.0068728522336769,25.9243986254296,6.97763084104626,0.0023007415045528,0.0129041588733617,0.0032220910773143,TP53/CDKN1A,2
BP,GO:0040029,epigenetic regulation of gene expression,2/5,305/18860,0.0065573770491803,24.7344262295082,6.80501742603264,0.0025240638039463,0.0140346651167705,0.0035043717060234,TP53/BRCA1,2
BP,GO:0046651,lymphocyte proliferation,2/5,312/18860,0.0064102564102564,24.1794871794872,6.72300819905108,0.0026394706161114,0.0144774304851864,0.0036149275630086,TP53/CDKN1A,2
BP,GO:1990144,intrinsic apoptotic signaling pathway in response to hypoxia,1/5,10/18860,0.1,377.2,19.3773408218421,0.002648584181786,0.0144774304851864,0.0036149275630086,TP53,1
BP,GO:0032943,mononuclear cell proliferation,2/5,319/18860,0.006269592476489,23.6489028213166,6.643653856054,0.0027573667476792,0.0146679974549789,0.0036625109924304,TP53/CDKN1A,2
BP,GO:0044092,negative regulation of molecular function,2/5,319/18860,0.006269592476489,23.6489028213166,6.643653856054,0.0027573667476792,0.0146679974549789,0.0036625109924304,TP53/CDKN1A,2
BP,GO:0010562,positive regulation of phosphorus metabolic process,2/5,320/18860,0.00625,23.575,6.63252578878375,0.0027744119217169,0.0146679974549789,0.0036625109924304,CDKN1A/EGFR,2
BP,GO:0045937,positive regulation of phosphate metabolic process,2/5,320/18860,0.00625,23.575,6.63252578878375,0.0027744119217169,0.0146679974549789,0.0036625109924304,CDKN1A/EGFR,2
BP,GO:0006983,ER overload response,1/5,11/18860,0.0909090909090909,342.909090909091,18.4711484070545,0.0029131336289525,0.0148811984384125,0.0037157459993098,TP53,1
BP,GO:0062100,positive regulation of programmed necrotic cell death,1/5,11/18860,0.0909090909090909,342.909090909091,18.4711484070545,0.0029131336289525,0.0148811984384125,0.0037157459993098,TP53,1
BP,GO:0071236,cellular response to antibiotic,1/5,11/18860,0.0909090909090909,342.909090909091,18.4711484070545,0.0029131336289525,0.0148811984384125,0.0037157459993098,TP53,1
BP,GO:1904030,negative regulation of cyclin-dependent protein kinase activity,1/5,11/18860,0.0909090909090909,342.909090909091,18.4711484070545,0.0029131336289525,0.0148811984384125,0.0037157459993098,CDKN1A,1
BP,GO:0043588,skin development,2/5,329/18860,0.0060790273556231,22.9300911854103,6.53461525793455,0.0029300964367106,0.0148811984384125,0.0037157459993098,CDKN1A/EGFR,2
BP,GO:0010826,negative regulation of centrosome duplication,1/5,12/18860,0.0833333333333333,314.333333333333,17.6805450594957,0.0031776269353273,0.015527040706713,0.0038770089402318,BRCA1,1
BP,GO:0046606,negative regulation of centrosome cycle,1/5,12/18860,0.0833333333333333,314.333333333333,17.6805450594957,0.0031776269353273,0.015527040706713,0.0038770089402318,BRCA1,1
BP,GO:0070200,establishment of protein localization to telomere,1/5,12/18860,0.0833333333333333,314.333333333333,17.6805450594957,0.0031776269353273,0.015527040706713,0.0038770089402318,BRCA2,1
BP,GO:1901525,negative regulation of mitophagy,1/5,12/18860,0.0833333333333333,314.333333333333,17.6805450594957,0.0031776269353273,0.015527040706713,0.0038770089402318,TP53,1
BP,GO:1903147,negative regulation of autophagy of mitochondrion,1/5,12/18860,0.0833333333333333,314.333333333333,17.6805450594957,0.0031776269353273,0.015527040706713,0.0038770089402318,TP53,1
BP,GO:0034504,protein localization to nucleus,2/5,345/18860,0.0057971014492753,21.8666666666667,6.36988852166107,0.0032169637071074,0.015601064594619,0.0038954922610799,TP53/CDKN1A,2
BP,GO:0045787,positive regulation of cell cycle,2/5,349/18860,0.0057306590257879,21.6160458452722,6.33044454119655,0.0032906929303859,0.0156946081717894,0.0039188495312668,BRCA2/EGFR,2
BP,GO:0006913,nucleocytoplasmic transport,2/5,350/18860,0.0057142857142857,21.5542857142857,6.32068672868042,0.003309250715292,0.0156946081717894,0.0039188495312668,TP53/CDKN1A,2
BP,GO:0051169,nuclear transport,2/5,350/18860,0.0057142857142857,21.5542857142857,6.32068672868042,0.003309250715292,0.0156946081717894,0.0039188495312668,TP53/CDKN1A,2
BP,GO:0070661,leukocyte proliferation,2/5,356/18860,0.0056179775280898,21.1910112359551,6.26298430873406,0.0034216501469171,0.0159384902128626,0.0039797454142276,TP53/CDKN1A,2
BP,GO:0032780,negative regulation of ATP-dependent activity,1/5,13/18860,0.0769230769230769,290.153846153846,16.982850961743,0.0034420641098458,0.0159384902128626,0.0039797454142276,TP53,1
BP,GO:0060816,random inactivation of X chromosome,1/5,13/18860,0.0769230769230769,290.153846153846,16.982850961743,0.0034420641098458,0.0159384902128626,0.0039797454142276,BRCA1,1
BP,GO:0006310,DNA recombination,2/5,358/18860,0.0055865921787709,21.072625698324,6.24406514262625,0.003459517255505,0.0159384902128626,0.0039797454142276,BRCA1/BRCA2,2
BP,GO:0062012,regulation of small molecule metabolic process,2/5,360/18860,0.0055555555555555,20.9555555555556,6.22529982812029,0.0034975844545264,0.0159995884621952,0.003995001280646,TP53/BRCA1,2
BP,GO:0010639,negative regulation of organelle organization,2/5,367/18860,0.0054495912806539,20.5558583106267,6.16080259520335,0.0036323934133427,0.0163743638981558,0.0040885804592702,TP53/BRCA1,2
BP,GO:0007406,negative regulation of neuroblast proliferation,1/5,14/18860,0.0714285714285714,269.428571428571,16.361165155451,0.003706445161443,0.0163743638981558,0.0040885804592702,TP53,1
BP,GO:0061029,eyelid development in camera-type eye,1/5,14/18860,0.0714285714285714,269.428571428571,16.361165155451,0.003706445161443,0.0163743638981558,0.0040885804592702,EGFR,1
BP,GO:0071493,cellular response to UV-B,1/5,14/18860,0.0714285714285714,269.428571428571,16.361165155451,0.003706445161443,0.0163743638981558,0.0040885804592702,CDKN1A,1
BP,GO:1905208,negative regulation of cardiocyte differentiation,1/5,14/18860,0.0714285714285714,269.428571428571,16.361165155451,0.003706445161443,0.0163743638981558,0.0040885804592702,EGFR,1
BP,GO:0031401,positive regulation of protein modification process,2/5,375/18860,0.0053333333333333,20.1173333333333,6.08925670658659,0.0037894527016633,0.0166271904256655,0.0041517097268491,CDKN1A/EGFR,2
BP,GO:0000722,telomere maintenance via recombination,1/5,15/18860,0.0666666666666667,251.466666666667,15.8026004162771,0.0039707700990525,0.0166308228174604,0.0041526167132948,BRCA2,1
BP,GO:0001833,inner cell mass cell proliferation,1/5,15/18860,0.0666666666666667,251.466666666667,15.8026004162771,0.0039707700990525,0.0166308228174604,0.0041526167132948,BRCA2,1
BP,GO:0033147,negative regulation of intracellular estrogen receptor signaling pathway,1/5,15/18860,0.0666666666666667,251.466666666667,15.8026004162771,0.0039707700990525,0.0166308228174604,0.0041526167132948,BRCA1,1
BP,GO:0070141,response to UV-A,1/5,15/18860,0.0666666666666667,251.466666666667,15.8026004162771,0.0039707700990525,0.0166308228174604,0.0041526167132948,EGFR,1
BP,GO:0070243,regulation of thymocyte apoptotic process,1/5,15/18860,0.0666666666666667,251.466666666667,15.8026004162771,0.0039707700990525,0.0166308228174604,0.0041526167132948,TP53,1
BP,GO:0110025,DNA strand resection involved in replication fork processing,1/5,15/18860,0.0666666666666667,251.466666666667,15.8026004162771,0.0039707700990525,0.0166308228174604,0.0041526167132948,BRCA1,1
BP,GO:1903798,regulation of miRNA processing,1/5,15/18860,0.0666666666666667,251.466666666667,15.8026004162771,0.0039707700990525,0.0166308228174604,0.0041526167132948,TP53,1
BP,GO:0001932,regulation of protein phosphorylation,2/5,387/18860,0.0051679586563307,19.4935400516796,5.9860161421141,0.0040310072506807,0.0167741914625104,0.0041884150041029,CDKN1A/EGFR,2
BP,GO:0009895,negative regulation of catabolic process,2/5,394/18860,0.0050761421319797,19.1472081218274,5.92792334852725,0.004175209946644,0.016966460316069,0.0042364233836941,TP53/EGFR,2
BP,GO:0016032,viral process,2/5,396/18860,0.005050505050505,19.0505050505051,5.91160107157744,0.0042168557165365,0.016966460316069,0.0042364233836941,TP53/EGFR,2
BP,GO:0033599,regulation of mammary gland epithelial cell proliferation,1/5,16/18860,0.0625,235.75,15.2971353206778,0.0042350389316079,0.016966460316069,0.0042364233836941,BRCA2,1
