GO_ID,Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,FDR
GO:0048146,positive regulation of fibroblast proliferation,BP,e,2,5,40,20362,3.748720890787739e-05,0.013706507383317064
GO:0045786,negative regulation of cell cycle,BP,e,3,5,346,20362,4.7425912991730856e-05,0.017041438838976943
GO:0090398,cellular senescence,BP,e,2,5,50,20362,5.88162742780588e-05,0.020776101224220737
GO:0044818,mitotic G2/M transition checkpoint,BP,e,2,5,51,20362,6.121091799112507e-05,0.02126161236421729
GO:1902895,positive regulation of miRNA transcription,BP,e,2,5,56,20362,7.389683591129369e-05,0.025247277987332322
GO:1901976,regulation of cell cycle checkpoint,BP,e,2,5,58,20362,7.930353278202677e-05,0.026234363916035234
GO:0006289,nucleotide-excision repair,BP,e,2,5,58,20362,7.930353278202677e-05,0.026234363916035234
GO:0010604,positive regulation of macromolecule metabolic process,BP,e,5,5,3136,20362,8.641833139422539e-05,0.02814131944667268
GO:0000152,nuclear ubiquitin ligase complex,CC,e,2,5,61,20362,8.7769293096654e-05,0.028141535960421016
GO:0006281,DNA repair,BP,e,3,5,430,20362,9.06165866464847e-05,0.02820876449269236
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,BP,e,2,5,62,20362,9.068601415528948e-05,0.02820876449269236
GO:2000630,positive regulation of miRNA metabolic process,BP,e,2,5,65,20362,9.97203829217433e-05,0.030562830889294887
GO:0007265,Ras protein signal transduction,BP,e,2,5,67,20362,0.00010597999256411625,0.03155327178612495
GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,BP,e,2,5,67,20362,0.00010597999256411625,0.03155327178612495
GO:2000379,positive regulation of reactive oxygen species metabolic process,BP,e,2,5,68,20362,0.0001091807642774609,0.03204839870854313
GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,BP,e,2,5,70,20362,0.00011572417109722147,0.03349732569218323
GO:0002039,p53 binding,MF,e,2,5,71,20362,0.00011906677805339674,0.03399274960836769
GO:1902750,negative regulation of cell cycle G2/M phase transition,BP,e,2,5,72,20362,0.00012245663527708404,0.03448809102445552
GO:0072331,signal transduction by p53 class mediator,BP,e,2,5,74,20362,0.00012937804424945323,0.03595157093603806
GO:1902807,negative regulation of cell cycle G1/S phase transition,BP,e,2,5,75,20362,0.00013290956786457726,0.03597361433591759
GO:0009893,positive regulation of metabolic process,BP,e,5,5,3413,20362,0.00013198347152891995,0.03597361433591759
GO:1902893,regulation of miRNA transcription,BP,e,2,5,76,20362,0.00013648828548009736,0.03600699186950265
GO:0033554,cellular response to stress,BP,e,4,5,1491,20362,0.0001348430432874295,0.03600699186950265
GO:0034644,cellular response to UV,BP,e,2,5,77,20362,0.00014011418303444697,0.03605086035334456
GO:0042127,regulation of cell population proliferation,BP,e,4,5,1505,20362,0.00013990280562399621,0.03605086035334456
GO:0080135,regulation of cellular response to stress,BP,e,3,5,515,20362,0.00015486792073989285,0.0393610040992696
GO:2000278,regulation of DNA biosynthetic process,BP,e,2,5,82,20362,0.0001589508778797254,0.039436848165373295
GO:0070063,RNA polymerase binding,MF,e,2,5,82,20362,0.0001589508778797254,0.039436848165373295
GO:0035556,intracellular signal transduction,BP,e,4,5,1606,20362,0.00018069079367820753,0.043710708535362935
GO:0045893,positive regulation of DNA-templated transcription,BP,e,4,5,1607,20362,0.00018113407878734663,0.043710708535362935
GO:1902680,positive regulation of RNA biosynthetic process,BP,e,4,5,1610,20362,0.0001824687703361919,0.043710708535362935
GO:2000628,regulation of miRNA metabolic process,BP,e,2,5,89,20362,0.00018729987335026666,0.04435814386923758
GO:0010389,regulation of G2/M transition of mitotic cell cycle,BP,e,2,5,95,20362,0.0002134320908406428,0.04997908095741389
