"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL"
599.460243089232,6.73903416930733,0.388346801553582,17.3531342149538,1.86770334382547e-67,4.84818433990215e-63,"ENSG00000123500"
690.230779774249,5.02644642884735,0.329542910848757,15.2527827587049,1.57763591004662e-52,2.0476136476495e-48,"ENSG00000099953"
1424.35337066864,-3.37349896080195,0.232539647832708,-14.5071990615075,1.09084686939733e-47,9.438734345272e-44,"ENSG00000196549"
1259.25796859395,-2.68249671650259,0.19767717177016,-13.5700885058267,6.02492430599696e-42,3.90987462837673e-38,"ENSG00000146648"
427.265983230504,-1.20671634752986,0.0891957043998821,-13.5288616828441,1.05646882044361e-41,5.48476352821503e-38,"ENSG00000198053"
1091.64149190537,-4.04054416452448,0.300658594261933,-13.4389777695973,3.5733879768216e-41,1.54596675170558e-37,"ENSG00000109846"
1585.06305834072,-2.93442970961424,0.22325418150214,-13.1438958494316,1.84478717851197e-39,6.8409979399734e-36,"ENSG00000198947"
591.535086772134,-3.84941945168394,0.294538868294778,-13.0693088962079,4.93114818961037e-39,1.60003430882382e-35,"ENSG00000120049"
7154.71387035797,-4.69278684241867,0.363086697377787,-12.9247005641077,3.26565493785479e-38,9.41887454187052e-35,"ENSG00000175445"
1671.48354293295,-4.25657442599648,0.333698409205149,-12.7557528252394,2.89563781107736e-37,7.51649662999462e-34,"ENSG00000079435"
12452.2825880678,-2.22927958202536,0.175003887989555,-12.7384574573476,3.61471087651641e-37,8.53006044841936e-34,"ENSG00000115306"
3864.40572713076,-2.95474845102471,0.234458230087682,-12.6024514043278,2.0468248576485e-36,4.42762330456998e-33,"ENSG00000076555"
624.282106510231,-2.15892644038438,0.172008026464201,-12.5513121960835,3.90976705010818e-36,7.8069025451314e-33,"ENSG00000142910"
1014.15398693698,-3.97992783663868,0.317691870076117,-12.5276351443463,5.27110741296958e-36,9.14376145131018e-33,"ENSG00000056998"
483.801666469663,3.31572976177343,0.264785494324528,12.5223240428329,5.63603448728573e-36,9.14376145131018e-33,"ENSG00000122641"
278.123435995903,-1.85427239237727,0.148027417526266,-12.5265469287016,5.34391455840649e-36,9.14376145131018e-33,"ENSG00000122863"
1096.17329678579,-3.61521906873756,0.290931136493209,-12.4263738571067,1.87969161113247e-35,2.87017852010451e-32,"ENSG00000168497"
8613.621208376,-3.02604120259602,0.243649239673664,-12.4196619970947,2.04423323959736e-35,2.94801146852602e-32,"ENSG00000079308"
355.554100607401,-4.51719064807178,0.367321637305129,-12.2976437794744,9.32548992942828e-35,1.27405825046368e-31,"ENSG00000161649"
529.524389902309,-3.65510719778918,0.298664313668123,-12.2381785520273,1.9434512567953e-34,2.52240538619462e-31,"ENSG00000169418"
426.389867993998,-3.28634159532028,0.26868671565365,-12.2311279414221,2.11974541505957e-34,2.62020721352935e-31,"ENSG00000091513"
1341.94554833827,-2.73187843387781,0.223958644037895,-12.1981379446803,3.18013136885129e-34,3.58912391620182e-31,"ENSG00000099260"
1539.34680158729,-3.59356732891062,0.294517362238098,-12.2015466307397,3.04975513790719e-34,3.58912391620182e-31,"ENSG00000123243"
474.985587336045,-4.14927627850496,0.341599463009502,-12.1466124154579,5.97920893533397e-34,6.46701273097496e-31,"ENSG00000135447"
5261.13199171082,-3.21812701947835,0.265336545564616,-12.1284725880124,7.4628403811502e-34,7.74881642455587e-31,"ENSG00000095637"
362.924706637303,-2.29364151023755,0.189287145661052,-12.1172597443287,8.55726515116875e-34,8.54344187669379e-31,"ENSG00000126878"
846.423481787727,-2.93146422396562,0.242552095972507,-12.0859158615471,1.25365357444563e-33,1.2052718327948e-30,"ENSG00000158186"
240.505549566393,4.84421237293048,0.401743766630969,12.0579652387743,1.76079428563006e-33,1.63238207379947e-30,"ENSG00000105664"
1146.57375045832,-2.76623580122467,0.230405880670604,-12.0059253399846,3.30743704654451e-33,2.96049830531732e-30,"ENSG00000135424"
926.720862971246,-3.44299791935969,0.288010616613634,-11.9544132082411,6.15669125875725e-33,5.32717972316069e-30,"ENSG00000165810"
870.293902153181,3.78773380017985,0.319260538696662,11.8640838471386,1.81882500124987e-32,1.52300191556271e-29,"ENSG00000060718"
3220.80805129004,-3.229639796984,0.272695242969872,-11.8434035071921,2.32809601104869e-32,1.88852238296256e-29,"ENSG00000168477"
4216.50281443544,-3.73821045045521,0.317650677981832,-11.7683062230675,5.68545570219395e-32,4.34067820933972e-29,"ENSG00000022267"
566.481153062683,-0.90861893957315,0.0772074743272095,-11.7685359803686,5.66999451901245e-32,4.34067820933972e-29,"ENSG00000173548"
116.728383536787,3.40541600651778,0.289536082529278,11.7616290749303,6.15353885703226e-32,4.56381604716696e-29,"ENSG00000104415"
5540.91553981633,-3.82625014001753,0.325495740225424,-11.7551465876869,6.64453389407377e-32,4.79107807839908e-29,"ENSG00000119927"
1267.10151032899,-1.67293657796544,0.142392145842696,-11.7487981381612,7.16303660768298e-32,5.02535416924959e-29,"ENSG00000111077"
6947.0368313506,-2.44211282656071,0.208124208387625,-11.7339200734032,8.54094877769829e-32,5.83436706240769e-29,"ENSG00000148180"
322.752922076098,-3.23264283646483,0.275792347325996,-11.7212927327666,9.9147364770726e-32,6.59914690953463e-29,"ENSG00000018625"
