GO_ID,Python_Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,Python_FDR,R_Name,R_Adjusted_P
GO:0030595,leukocyte chemotaxis,BP,e,35,3765,109,20413,0.0006928421607203,0.0172310854364584,leukocyte chemotaxis,0.0002055168164069
GO:0001569,branching involved in blood vessel morphogenesis,BP,e,8,3765,13,20413,0.0007043972001768,0.0174549115153871,branching involved in blood vessel morphogenesis,0.0095520545310926
GO:2000846,regulation of corticosteroid hormone secretion,BP,e,8,3765,13,20413,0.0007043972001768,0.0174549115153871,regulation of corticosteroid hormone secretion,0.0077621752932541
GO:0014009,glial cell proliferation,BP,e,8,3765,13,20413,0.0007043972001768,0.0174549115153871,glial cell proliferation,0.0005066121358681
GO:0010594,regulation of endothelial cell migration,BP,e,50,3765,172,20413,0.0007091559807523,0.0175516105236211,regulation of endothelial cell migration,0.0113523777807052
GO:0009712,catechol-containing compound metabolic process,BP,e,12,3765,25,20413,0.0007216980241595,0.0177335223130706,catechol-containing compound metabolic process,0.0306281090155257
GO:0006584,catecholamine metabolic process,BP,e,12,3765,25,20413,0.0007216980241595,0.0177335223130706,catecholamine metabolic process,0.0306281090155257
GO:0043266,regulation of potassium ion transport,BP,e,24,3765,67,20413,0.0007193461466043,0.0177335223130706,regulation of potassium ion transport,0.0011533447191353
GO:0003707,nuclear steroid receptor activity,MF,e,12,3765,25,20413,0.0007216980241595,0.0177335223130706,nuclear steroid receptor activity,0.0061348847281554
GO:0045778,positive regulation of ossification,BP,e,19,3765,49,20413,0.0007302004077278,0.0178995178894328,positive regulation of ossification,0.0016798842405866
GO:0001763,morphogenesis of a branching structure,BP,e,22,3765,60,20413,0.0007321831139146,0.0179266768858447,morphogenesis of a branching structure,1.12821006717486e-08
GO:0016101,diterpenoid metabolic process,BP,e,26,3765,74,20413,0.0007339472226753,0.0179484253392445,diterpenoid metabolic process,0.0035942882842915
GO:0045667,regulation of osteoblast differentiation,BP,e,33,3765,102,20413,0.0007395634204342,0.0180427061606647,regulation of osteoblast differentiation,0.0026731720269424
GO:2000027,regulation of animal organ morphogenesis,BP,e,17,3765,41,20413,0.0007551344055788,0.0183788234839995,regulation of animal organ morphogenesis,4.60459070454119e-06
GO:0004879,nuclear receptor activity,MF,e,21,3765,56,20413,0.0007658937264944,0.0185306495124555,nuclear receptor activity,0.0029800121032475
GO:1903276,regulation of sodium ion export across plasma membrane,BP,e,6,3765,8,20413,0.0007797407976549,0.0186891714171735,regulation of sodium ion export across plasma membrane,0.0182707723533548
GO:0001706,endoderm formation,BP,e,6,3765,8,20413,0.0007797407976549,0.0186891714171735,endoderm formation,0.0237825224919988
GO:0050927,positive regulation of positive chemotaxis,BP,e,11,3765,22,20413,0.000780653429615,0.0186891714171735,positive regulation of positive chemotaxis,0.0015334126511639
GO:1903278,positive regulation of sodium ion export across plasma membrane,BP,e,6,3765,8,20413,0.0007797407976549,0.0186891714171735,positive regulation of sodium ion export across plasma membrane,0.0182707723533548
GO:0090665,glycoprotein complex,CC,e,11,3765,22,20413,0.000780653429615,0.0186891714171735,glycoprotein complex,0.0034233783620657
GO:0050727,regulation of inflammatory response,BP,e,93,3765,364,20413,0.0007948170405076,0.0189869558125998,regulation of inflammatory response,0.000667098414952
GO:0010885,regulation of cholesterol storage,BP,e,9,3765,16,20413,0.0007958715192028,0.0189869558125998,regulation of cholesterol storage,0.0077621752932541
GO:0090136,epithelial cell-cell adhesion,BP,e,10,3765,19,20413,0.0008123236534217,0.01933443510984,epithelial cell-cell adhesion,0.0134614450621465
GO:0071379,cellular response to prostaglandin stimulus,BP,e,10,3765,19,20413,0.0008123236534217,0.01933443510984,cellular response to prostaglandin stimulus,0.0096133912750114
GO:0022832,voltage-gated channel activity,MF,e,46,3765,156,20413,0.0008170243465567,0.0194012513719433,voltage-gated channel activity,0.0050480315002456
GO:0050729,positive regulation of inflammatory response,BP,e,44,3765,147,20413,0.0008296651967479,0.0195879364941883,positive regulation of inflammatory response,0.0001157106350597
GO:0045841,negative regulation of mitotic metaphase/anaphase transition,BP,e,14,3765,32,20413,0.0008487267190071,0.0199232034966943,negative regulation of mitotic metaphase/anaphase transition,0.0003836673146816
GO:0033048,negative regulation of mitotic sister chromatid segregation,BP,e,14,3765,32,20413,0.0008487267190071,0.0199232034966943,negative regulation of mitotic sister chromatid segregation,0.0003836673146816
GO:0033046,negative regulation of sister chromatid segregation,BP,e,14,3765,32,20413,0.0008487267190071,0.0199232034966943,negative regulation of sister chromatid segregation,0.0003836673146816
GO:2000816,negative regulation of mitotic sister chromatid separation,BP,e,14,3765,32,20413,0.0008487267190071,0.0199232034966943,negative regulation of mitotic sister chromatid separation,0.0003836673146816
GO:0002791,regulation of peptide secretion,BP,e,48,3765,166,20413,0.0008669554717848,0.0203228844525865,regulation of peptide secretion,0.0059635556394023
GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,BP,e,30,3765,90,20413,0.0008822470471115,0.0206156085934508,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.000549511180084
GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,BP,e,64,3765,235,20413,0.0009060667294777,0.0211240335462882,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.0009828347644433
GO:1904950,negative regulation of establishment of protein localization,BP,e,32,3765,98,20413,0.0009178796192824,0.0213597556839244,negative regulation of establishment of protein localization,0.0178915356648334
GO:0042476,odontogenesis,BP,e,21,3765,57,20413,0.0009327430854165,0.0215013543863226,odontogenesis,4.60459070454119e-06
GO:0051924,regulation of calcium ion transport,BP,e,51,3765,179,20413,0.0009319791441729,0.0215013543863226,regulation of calcium ion transport,0.0181433643164608
GO:0098531,ligand-modulated transcription factor activity,MF,e,21,3765,57,20413,0.0009327430854165,0.0215013543863226,ligand-modulated transcription factor activity,0.0037738882155373
GO:0032890,regulation of organic acid transport,BP,e,21,3765,57,20413,0.0009327430854165,0.0215013543863226,regulation of organic acid transport,0.0005981582222131
GO:0045211,postsynaptic membrane,CC,e,59,3765,213,20413,0.0009406527846721,0.0215624133291786,postsynaptic membrane,9.60149897828452e-05
GO:0005796,Golgi lumen,CC,e,30,3765,91,20413,0.0009528750126696,0.0218181761280893,Golgi lumen,0.0078939455604668
GO:0071173,spindle assembly checkpoint signaling,BP,e,13,3765,29,20413,0.0009802603274407,0.0222710364636842,spindle assembly checkpoint signaling,0.0002261305049275
GO:0007094,mitotic spindle assembly checkpoint signaling,BP,e,13,3765,29,20413,0.0009802603274407,0.0222710364636842,mitotic spindle assembly checkpoint signaling,0.0002261305049275
