GO_ID,Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,FDR
GO:0010874,regulation of cholesterol efflux,BP,e,15,3765,38,20413,0.002418326093290053,0.04354899528101323
GO:0097493,structural molecule activity conferring elasticity,MF,e,7,3765,12,20413,0.0023921479280679496,0.04354899528101323
GO:0070700,BMP receptor binding,MF,e,7,3765,12,20413,0.0023921479280679496,0.04354899528101323
GO:0001618,virus receptor activity,MF,e,15,3765,38,20413,0.002418326093290053,0.04354899528101323
GO:0045839,negative regulation of mitotic nuclear division,BP,e,15,3765,38,20413,0.002418326093290053,0.04354899528101323
GO:1904262,negative regulation of TORC1 signaling,BP,p,2,3765,54,20413,0.002404681081578988,0.04354899528101323
GO:2000059,negative regulation of ubiquitin-dependent protein catabolic process,BP,p,2,3765,54,20413,0.002404681081578988,0.04354899528101323
GO:0002183,cytoplasmic translational initiation,BP,p,0,3765,33,20413,0.002415876449342897,0.04354899528101323
GO:0072677,eosinophil migration,BP,e,7,3765,12,20413,0.0023921479280679496,0.04354899528101323
GO:0048245,eosinophil chemotaxis,BP,e,7,3765,12,20413,0.0023921479280679496,0.04354899528101323
GO:0002065,columnar/cuboidal epithelial cell differentiation,BP,e,12,3765,28,20413,0.0024447721743120596,0.043947996638751784
GO:0042056,chemoattractant activity,MF,e,12,3765,28,20413,0.0024447721743120596,0.043947996638751784
GO:0044703,multi-organism reproductive process,BP,e,23,3765,68,20413,0.0024649161513828166,0.04427127667860479
GO:0003094,glomerular filtration,BP,e,8,3765,15,20413,0.0024771774882035944,0.04433606835437228
GO:0048385,regulation of retinoic acid receptor signaling pathway,BP,e,8,3765,15,20413,0.0024771774882035944,0.04433606835437228
GO:0043034,costamere,CC,e,8,3765,15,20413,0.0024771774882035944,0.04433606835437228
GO:0042923,neuropeptide binding,MF,e,8,3765,15,20413,0.0024771774882035944,0.04433606835437228
GO:0007006,mitochondrial membrane organization,BP,p,2,3765,55,20413,0.0024824781335957627,0.044353465032064485
GO:0050688,regulation of defense response to virus,BP,p,2,3765,55,20413,0.0024824781335957627,0.044353465032064485
GO:0045428,regulation of nitric oxide biosynthetic process,BP,e,18,3765,49,20413,0.0024877731810924375,0.04437070130559384
GO:0005249,voltage-gated potassium channel activity,MF,e,27,3765,83,20413,0.0024873397671330726,0.04437070130559384
GO:0022408,negative regulation of cell-cell adhesion,BP,e,47,3765,168,20413,0.002546330232884918,0.045375604750009235
GO:0043169,cation binding,MF,e,436,3765,2085,20413,0.0026041272940851416,0.04636523078860713
GO:1905168,positive regulation of double-strand break repair via homologous recombination,BP,p,1,3765,43,20413,0.002658674810632774,0.047254313004594484
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",BP,p,1,3765,43,20413,0.002658674810632774,0.047254313004594484
GO:0070167,regulation of biomineral tissue development,BP,e,27,3765,84,20413,0.002668020636544289,0.04734276800404685
GO:0071621,granulocyte chemotaxis,BP,e,20,3765,56,20413,0.0026682719486982925,0.04734276800404685
GO:0070293,renal absorption,BP,e,14,3765,34,20413,0.0027040817272030856,0.047689110873986945
GO:0071453,cellular response to oxygen levels,BP,e,40,3765,138,20413,0.0027021522945648575,0.047689110873986945
GO:0003180,aortic valve morphogenesis,BP,e,14,3765,34,20413,0.0027040817272030856,0.047689110873986945
GO:0080135,regulation of cellular response to stress,BP,p,66,3765,493,20413,0.00269693924692997,0.047689110873986945
GO:0051985,negative regulation of chromosome segregation,BP,e,14,3765,34,20413,0.0027040817272030856,0.047689110873986945
GO:0048511,rhythmic process,BP,e,45,3765,159,20413,0.0027014711297755206,0.047689110873986945
GO:1903524,positive regulation of blood circulation,BP,e,14,3765,34,20413,0.0027040817272030856,0.047689110873986945
GO:0031072,heat shock protein binding,MF,p,11,3765,127,20413,0.0027255041890058224,0.048025586711346796
GO:0034340,response to type I interferon,BP,p,1,3765,44,20413,0.002733732661237968,0.048046641017795606
GO:0017004,cytochrome complex assembly,BP,p,1,3765,44,20413,0.002733732661237968,0.048046641017795606
GO:0090068,positive regulation of cell cycle process,BP,e,58,3765,218,20413,0.002731715597865725,0.048046641017795606
GO:0051051,negative regulation of transport,BP,e,84,3765,336,20413,0.0027986370244539776,0.04911385789379571
GO:0043279,response to alkaloid,BP,e,23,3765,69,20413,0.0027992478416997697,0.04911385789379571
GO:0043488,regulation of mRNA stability,BP,p,17,3765,171,20413,0.0028413547247182268,0.04980999347617675
