"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0008652","amino acid biosynthetic process","19/2867","71/18860",0.267605633802817,1.76039143827036,2.71783299954622,0.0083048537856838,0.0413279597282747,0.0290903379703097,"CPS1/ATP2B4/SLC1A3/PHGDH/PYCR3/SLC38A1/AGXT2/ASS1/BHMT2/PSAT1/GAD2/BHMT/CBS/LOC102724560/ALDH1A1/SHMT1/SEPHS2/PYCR1/ABAT",19
"BP","GO:0045833","negative regulation of lipid metabolic process","29/2867","122/18860",0.237704918032787,1.56369541475353,2.6446670739862,0.00830774252145941,0.0413279597282747,0.0290903379703097,"FMO1/DGAT2/ACACB/FMO2/TRIB3/BMP5/GPLD1/PDE8B/KAT2B/ACADL/PROX1/SOX9/BMP2/LPIN1/ASXL3/ADRA2A/CCDC3/PDE3B/ADORA1/GPER1/ANGPTL4/ORMDL3/CIDEA/HCAR2/CIDEC/APOD/AKR1C3/MIR342/PLIN5",29
"BP","GO:0006576","biogenic amine metabolic process","22/2867","86/18860",0.255813953488372,1.68282217048856,2.68711739724033,0.0083614195606732,0.0415609726159709,0.0292543534140694,"MAOB/MOXD1/SLC1A1/GATA3/ALDH2/EPAS1/AOC2/KL/SLC6A3/AZIN2/OAZ3/SNCA/SLC22A3/RNF180/SLC29A4/NPR1/TRH/INSM1/ABAT/DRD1/PRKN/MAOA",22
"BP","GO:0150116","regulation of cell-substrate junction organization","20/2867","76/18860",0.263157894736842,1.7311328548088,2.70406585747823,0.00837606806950901,0.041599769439988,0.0292816621108997,"MYOC/GPM6B/FERMT2/CAMSAP3/NRP1/SFRP1/RHOU/ITGB1BP1/TEK/KDR/ROCK2/TLN1/ACVRL1/DMTN/DLC1/GREM1/FAM107A/PEAK1/EFNA5/APOD",20
"BP","GO:0051963","regulation of synapse assembly","40/2867","181/18860",0.220994475138122,1.45376902724275,2.59720083341202,0.00839723392763272,0.0416708449355749,0.0293316914421714,"MYCBP2/CYFIP2/GPC4/FGFR1/SIX4/SYNDIG1/CBLN1/PTPRS/NEURL1/LIN7A/WNT5A/MARK1/ADGRB2/RAB17/LRRC4B/MAP1B/LRP4/ADGRB3/NTRK3/CBLN2/SNCA/LRRTM2/TPBG/NLGN4X/VLDLR/NTRK2/FARP1/LRFN5/CASKIN1/NLGN1/LRRC15/LRRN3/NECTIN3/NRXN1/EFNA5/SLITRK6/FLRT2/SLITRK2/THBS2/ARHGEF15",40
"BP","GO:0019934","cGMP-mediated signaling","12/2867","38/18860",0.31578947368421,2.07735942577056,2.81467164145648,0.00853296622911868,0.0422409623019645,0.0297329913606784,"ATP2B4/IRAG1/GUCY2F/KDR/PDE11A/CD36/EDNRB/NPR1/PDE3A/NPPA/PDE2A/AQP1",12
"BP","GO:1902932","positive regulation of alcohol biosynthetic process","12/2867","38/18860",0.31578947368421,2.07735942577056,2.81467164145648,0.00853296622911868,0.0422409623019645,0.0297329913606784,"ADCYAP1R1/QKI/FGF1/PCK1/GNAI1/LHCGR/SNCA/DAB2/BMP6/PTH1R/GPR146/GPER1",12
"BP","GO:1905332","positive regulation of morphogenesis of an epithelium","12/2867","38/18860",0.31578947368421,2.07735942577056,2.81467164145648,0.00853296622911868,0.0422409623019645,0.0297329913606784,"SOX8/SIX4/GATA3/MDK/SOX9/FGF2/ITGAX/LCN2/GREM1/MMRN2/LGR4/HOXB7",12
"BP","GO:0045807","positive regulation of endocytosis","37/2867","165/18860",0.224242424242424,1.47513502658253,2.59540115111753,0.00863225193032701,0.0426937045680935,0.0300516721187349,"RAP1GAP/SIRPG/TF/TREM2/PYCARD/TFR2/SERPINE1/WNT5A/COLEC11/CLU/LRP1/GPR18/CCR7/IL15RA/APLNR/CD36/BIN1/CCL21/FCN3/SNCA/GPC3/FCGR1A/DAB2/ANGPT1/GREM1/RAB31/PCSK9/NLGN1/CLEC7A/ANO6/CAV3/COLEC10/SIRPA/ITSN1/C4B/C4A/APELA",37
"BP","GO:0010878","cholesterol storage","9/2867","25/18860",0.36,2.36818974537844,2.89828928488317,0.00865953902491516,0.0426937045680935,0.0300516721187349,"NR1H3/APOB/TREM2/PPARG/CD36/ABCA1/LPL/PPARA/CES1",9
"BP","GO:0042744","hydrogen peroxide catabolic process","9/2867","25/18860",0.36,2.36818974537844,2.89828928488317,0.00865953902491516,0.0426937045680935,0.0300516721187349,"TPO/PRDX6/CAT/SNCA/HBA2/HBA1/GPX3/HBB/HP",9
"BP","GO:0051953","negative regulation of amine transport","9/2867","25/18860",0.36,2.36818974537844,2.89828928488317,0.00865953902491516,0.0426937045680935,0.0300516721187349,"RGS4/SNCA/ADRA2A/ADORA1/NPY5R/TRH/LEP/ABAT/ADRA2C",9
"BP","GO:0061339","establishment or maintenance of monopolar cell polarity","9/2867","25/18860",0.36,2.36818974537844,2.89828928488317,0.00865953902491516,0.0426937045680935,0.0300516721187349,"CAMSAP3/NHERF1/PTK7/WNT5A/TCF15/FOXJ1/MAP1B/PATJ/SYNE4",9
"BP","GO:0048659","smooth muscle cell proliferation","39/2867","176/18860",0.221590909090909,1.45769255160605,2.58287540958077,0.00875940044604124,0.0431510496851578,0.0303735927775805,"CX3CL1/IGF1/CALCRL/EDN1/GSTP1/XBP1/MMP9/RGCC/NDRG4/CCN4/OGN/PPARGC1A/TACR1/MYB/TGFB3/BMP2/CNN1/ACE2/PPARG/IL6/KLF4/TLR4/CCN3/FGF2/CDH13/MYOCD/RGS5/IL18/ADAMTS1/DDR2/NPY5R/GPER1/NDRG2/RBPMS2/NPR1/S1PR1/JUN/ADIPOQ/APOD",39
"BP","GO:0042572","retinol metabolic process","15/2867","52/18860",0.288461538461538,1.89758793700196,2.74419885746712,0.00878267397172964,0.0432306680762303,0.0304296353676377,"HSD17B6/RETSAT/DGAT2/LIPE/CYP3A5/ALDH1A2/RDH5/RBP4/DHRS3/ALDH1A1/SDR16C5/PNPLA2/DGAT1/AKR1C3/ADH1B",15
"BP","GO:0043117","positive regulation of vascular permeability","7/2867","17/18860",0.411764705882353,2.70871376105378,2.98419337406038,0.00888226597985462,0.0435095043445094,0.0306259054311964,"TJP3/TACR1/BMP6/ANGPT1/PDE3A/PDE2A/OCLN",7
"BP","GO:0048148","behavioral response to cocaine","7/2867","17/18860",0.411764705882353,2.70871376105378,2.98419337406038,0.00888226597985462,0.0435095043445094,0.0306259054311964,"OPRK1/SLC6A4/FOSB/PPP1R1B/SNCA/SDK1/DRD1",7
"BP","GO:0070341","fat cell proliferation","7/2867","17/18860",0.411764705882353,2.70871376105378,2.98419337406038,0.00888226597985462,0.0435095043445094,0.0306259054311964,"TREM2/E2F1/OVOL2/PID1/VSTM2A/SLC2A4/CEBPA",7
"BP","GO:0097091","synaptic vesicle clustering","7/2867","17/18860",0.411764705882353,2.70871376105378,2.98419337406038,0.00888226597985462,0.0435095043445094,0.0306259054311964,"SYN1/SYNDIG1/SYN2/BRSK1/NLGN1/CDH2/NRXN1",7
"BP","GO:0170043","non-proteinogenic amino acid biosynthetic process","7/2867","17/18860",0.411764705882353,2.70871376105378,2.98419337406038,0.00888226597985462,0.0435095043445094,0.0306259054311964,"CPS1/ATP2B4/SLC1A3/SLC38A1/GAD2/ALDH1A1/ABAT",7
"BP","GO:2001279","regulation of unsaturated fatty acid biosynthetic process","7/2867","17/18860",0.411764705882353,2.70871376105378,2.98419337406038,0.00888226597985462,0.0435095043445094,0.0306259054311964,"PTGS2/EDN1/PLA2G3/EDN2/FABP5/AVPR1A/ABCD2",7
"BP","GO:0035082","axoneme assembly","26/2867","107/18860",0.242990654205607,1.59846659864589,2.62847975831477,0.00897915031774933,0.0436262669919548,0.0307080934922288,"ZMYND10/DNAH5/PLA2G3/SPEF1/SPAG1/ODAD1/NEURL1/DNAH7/BBOF1/DNAI1/DNAH8/FOXJ1/TTLL8/LRRC46/CFAP74/DNAAF1/LRGUK/RSPH1/PIERCE1/CFAP157/CFAP47/DNAAF3/CFAP65/DNAJB13/CFAP43/ODAD3",26
"BP","GO:0002524","hypersensitivity","8/2867","21/18860",0.380952380952381,2.50602089458036,2.92361330566179,0.00898497643520535,0.0436262669919548,0.0307080934922288,"GATA3/CCR7/FCGR1A/FCGR3B/FUT7/FCGR3A/HLA-E/IGHG1",8
"BP","GO:0010744","positive regulation of macrophage derived foam cell differentiation","8/2867","21/18860",0.380952380952381,2.50602089458036,2.92361330566179,0.00898497643520535,0.0436262669919548,0.0307080934922288,"APOB/PLA2G3/CD36/AGTR1/IL18/LPL/CSF1/PLA2G2A",8
"BP","GO:0031643","positive regulation of myelination","8/2867","21/18860",0.380952380952381,2.50602089458036,2.92361330566179,0.00898497643520535,0.0436262669919548,0.0307080934922288,"IGF1/TNFRSF1B/SOX10/QKI/WASF3/ITGAX/S100B/TPPP",8
"BP","GO:0048245","eosinophil chemotaxis","8/2867","21/18860",0.380952380952381,2.50602089458036,2.92361330566179,0.00898497643520535,0.0436262669919548,0.0307080934922288,"CX3CL1/DAPK2/CCL24/CCL8/CCL21/SCG2/CCL11/CCL13",8
"BP","GO:0048846","axon extension involved in axon guidance","8/2867","21/18860",0.380952380952381,2.50602089458036,2.92361330566179,0.00898497643520535,0.0436262669919548,0.0307080934922288,"SEMA3A/NRP1/CXCL12/WNT3/WNT5A/ALCAM/SLIT3/PLXNA4",8
"BP","GO:0060602","branch elongation of an epithelium","8/2867","21/18860",0.380952380952381,2.50602089458036,2.92361330566179,0.00898497643520535,0.0436262669919548,0.0307080934922288,"TNC/ESR1/SIX4/FGF1/WNT5A/SOX9/SPRY2/SPRY1",8
"BP","GO:0072520","seminiferous tubule development","8/2867","21/18860",0.380952380952381,2.50602089458036,2.92361330566179,0.00898497643520535,0.0436262669919548,0.0307080934922288,"KIF18A/BRIP1/LHCGR/CCNO/INHBB/DNAAF3/ODAD3/MCIDAS",8
"BP","GO:1902284","neuron projection extension involved in neuron projection guidance","8/2867","21/18860",0.380952380952381,2.50602089458036,2.92361330566179,0.00898497643520535,0.0436262669919548,0.0307080934922288,"SEMA3A/NRP1/CXCL12/WNT3/WNT5A/ALCAM/SLIT3/PLXNA4",8
"BP","GO:1903975","regulation of glial cell migration","8/2867","21/18860",0.380952380952381,2.50602089458036,2.92361330566179,0.00898497643520535,0.0436262669919548,0.0307080934922288,"CX3CL1/TREM2/RRAS/ATP1B2/RRAS2/CERS2/P2RY12/CSF1",8
"BP","GO:0010976","positive regulation of neuron projection development","36/2867","160/18860",0.225,1.48011859086153,2.58223592533675,0.00898504462476186,0.0436262669919548,0.0307080934922288,"CX3CL1/FYN/CAMK2B/SCARF1/FGFR1/ITGA6/PLA2G3/PTK6/NDRG4/EZH2/MDK/BMP5/PTK7/KAT2B/WNT5A/TNN/PACSIN1/ATP1B2/SERPINF1/CAMK1/TUBB2B/ITPKA/NTRK3/VLDLR/NTRK2/FEZ1/ROBO3/DDR2/RET/ZNF804A/NDNF/RGMA/RELN/ALKAL2/DMD/TENM3",36
