ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0098813,nuclear chromosome segregation,69/2867,323/18860,0.213622291021672,1.40527255272715,3.11054820598424,0.0017999409829275,0.0129796455933765,0.0091362428614601,ASPM/TRIP13/AURKA/TPX2/BIRC5/KIF4A/MAP3K20/CDC6/MISP/MYBL2/FAM83D/NCAPG/TTK/KAT2B/ECT2/NEK2/CENPF/KIF14/DUSP1/NCAPH/MND1/KIF18A/ZWINT/KIF25/DLGAP5/SGO1/TOP2A/CCNB1/PSRC1/CDCA8/ESPL1/USP44/BRIP1/NUSAP1/KIF23/KNL1/KIF11/CENPE/SPATA22/P3H4/KIF2C/NUF2/ANKRD53/FANCD2/SPC25/SKA1/BUB1B/KASH5/RACGAP1/SPC24/MAD2L1/PTTG1/CHMP4C/PLK1/CDT1/BUB1/CDK1/UBE2C/CCNE2/RMI2/HASPIN/AURKB/MAPK15/KIF18B/SYCP2/PRC1/SYCE3/KIF4B/KIFC1,69
BP,GO:0032273,positive regulation of protein polymerization,25/2867,91/18860,0.274725274725275,1.80722660666853,3.26816372462509,0.0018401601190101,0.0132382643354588,0.0093182820103098,BAIAP2L1/TENM1/PYCARD/MET/CCL24/CCR7/MAP1B/PSRC1/BIN1/CCL21/SLAIN1/ANKRD53/TTBK1/CDC42EP2/SKA1/PINK1/TPPP3/LMOD1/TPPP/CCL11/CDK5R1/CAV3/KIRREL1/EVL/OCLN,25
BP,GO:0042475,odontogenesis of dentin-containing tooth,25/2867,91/18860,0.274725274725275,1.80722660666853,3.26816372462509,0.0018401601190101,0.0132382643354588,0.0093182820103098,CFTR/TNC/FOXC1/DMRT3/NGFR/ROGDI/SERPINE1/FAM20A/ITGB6/DLX2/MSX2/RUNX2/BMP2/BCL11B/LRP4/PDGFRA/LEF1/APCDD1/EDA/MSX1/KLK4/KLK5/SOSTDC1/CSF1/PPARA,25
BP,GO:0035051,cardiocyte differentiation,41/2867,172/18860,0.238372093023256,1.56808429522798,3.16886546979195,0.001866666295786,0.0134130785012809,0.0094413319551704,IGF1/TGFBR3/NEBL/EDN1/TBX5/FOLR1/SOX6/POPDC1/TBX18/RGS4/PROX1/ADRA1A/KCNJ8/INHBA/TWIST1/EFNB2/BMP2/MYH11/CCNB1/PDGFRA/ALPK3/MYLK3/MYOCD/EGFR/NOTCH1/CXADR/EOMES/SPRY1/PI16/SOX17/GPER1/MESP1/GREM1/CDK1/NPPA/IRX3/CAV3/WT1/PPARA/SOX18/MIR23A,41
BP,GO:0010948,negative regulation of cell cycle process,68/2867,318/18860,0.213836477987421,1.40668153988237,3.09669147877965,0.0018827655989357,0.0134614450621465,0.0094753766941629,FHL1/RAD51/FOXN3/RPS6KA2/TRIP13/CAMSAP3/CDC14B/ORC1/BIRC5/MAP3K20/CLSPN/CDC45/CDC6/E2F1/RGCC/EZH2/TTK/BCL6/KAT2B/NEK2/PROX1/CENPF/PKD2/DUSP1/INHBA/ZWINT/KIF25/PKMYT1/E2F8/CCNB1/CDCA8/ESPL1/USP44/BRIP1/KLF4/IER3/KNL1/BARD1/BRCA2/TICRR/TOM1L1/NUF2/DTL/FANCD2/CDKN2B/SPC25/SKA1/EME1/FBXO43/BUB1B/BRSK1/SPC24/MAD2L1/CHMP4C/GPER1/E2F7/PLK1/CDT1/FAM107A/BUB1/CDK1/HASPIN/AURKB/FOXO4/MUC1/DCUN1D3/KANK2/BLM,68
BP,GO:0007091,metaphase/anaphase transition of mitotic cell cycle,26/2867,96/18860,0.270833333333333,1.78162422974073,3.25071672861033,0.0018837687241658,0.0134614450621465,0.0094753766941629,TRIP13/BIRC5/MAP3K20/CDC6/TTK/CENPF/DUSP1/ZWINT/DLGAP5/CCNB1/CDCA8/ESPL1/USP44/KNL1/CENPE/NUF2/SPC25/SKA1/BUB1B/SPC24/MAD2L1/PLK1/BUB1/UBE2C/HASPIN/AURKB,26
BP,GO:0032310,prostaglandin secretion,8/2867,17/18860,0.470588235294118,3.09567286977574,3.6600004253059,0.001888898278995,0.0134614450621465,0.0094753766941629,ACSL4/PTGS2/EDN1/PLA2G3/PLA2G4A/TNFSF11/LEP/MIF,8
BP,GO:0036005,response to macrophage colony-stimulating factor,8/2867,17/18860,0.470588235294118,3.09567286977574,3.6600004253059,0.001888898278995,0.0134614450621465,0.0094753766941629,TREM2/SPP1/TLR4/ALPL/MST1R/DCSTAMP/CSF1/PDE2A,8
BP,GO:0060841,venous blood vessel development,8/2867,17/18860,0.470588235294118,3.09567286977574,3.6600004253059,0.001888898278995,0.0134614450621465,0.0094753766941629,ENG/PROX1/EFNB2/APLNR/ACVRL1/NOTCH1/TBX20/CCBE1,8
BP,GO:1903035,negative regulation of response to wounding,27/2867,101/18860,0.267326732673267,1.75855674161766,3.23632498267821,0.0019157973196637,0.013637156798871,0.0095990584302145,TFPI/CD9/FAP/EDN1/PTPRS/SERPINE1/MDK/PROC/TNR/SPP1/PLAU/TSPAN8/F12/PDGFRA/IL33/FGF2/MMRN1/ADAMTS18/SIGLEC10/CERS2/SERPING1/ANGPT1/KLKB1/C1QTNF1/RGMA/PROS1/FIGNL2,27
BP,GO:0001838,embryonic epithelial tube formation,32/2867,126/18860,0.253968253968254,1.67068059638691,3.19811417686198,0.0019386102451182,0.0137673033645722,0.0096906672975967,SOX8/CELSR1/LRP2/GRHL2/SIX4/SALL4/SFRP1/GATA3/FOLR1/BMP5/PTK7/WNT5A/TWIST1/STIL/SOX9/OVOL2/OSR1/SFRP2/ADM/ST14/GRHL3/DLC1/CTHRC1/RET/SPINT1/GREM1/SPINT2/ZEB2/IRX1/IRX3/RGMA/PTCH1,32
BP,GO:0002688,regulation of leukocyte chemotaxis,32/2867,126/18860,0.253968253968254,1.67068059638691,3.19811417686198,0.0019386102451182,0.0137673033645722,0.0096906672975967,DAPK2/F7/EDN1/SERPINE1/RARRES2/CXCL12/MDK/IL23A/NEDD9/CCR6/THBS4/WNT5A/DUSP1/TNFAIP6/GPR18/CCR7/EDN2/LBP/C5AR2/IL6/CCN3/CCL21/VEGFC/CXCL13/VEGFD/GREM1/CXCL10/VEGFB/ANO6/CSF1/S100A14/MIF,32
BP,GO:0019218,regulation of steroid metabolic process,31/2867,121/18860,0.256198347107438,1.68535082889651,3.20214231775899,0.0019491122737249,0.0138210516267233,0.0097285001623588,DGAT2/APOB/SEC14L2/BMP5/QKI/PDE8B/FGF1/NR3C1/ACADL/NR5A2/PROX1/EGR1/PCK1/BMP2/NR1D1/STAT5A/GNAI1/LHCGR/RORC/AGTR1/ADM/DAB2/BMP6/KIT/FGFR4/GPR146/STAT5B/LEP/AKR1C3/CES1/MIR342,31
BP,GO:0030038,contractile actin filament bundle assembly,30/2867,116/18860,0.258620689655172,1.70128573662245,3.20775411551549,0.0019529993991372,0.0138210516267233,0.0097285001623588,MYOC/FERMT2/RAPGEF3/SORBS1/NRP1/MYL9/RGCC/CORO2B/SFRP1/MET/TACR1/ITGB1BP1/TGFB3/RHPN2/INPP5K/ROCK2/FHDC1/OAZ3/TMEFF2/EPHA1/FAM171A1/RHPN1/DLC1/ZEB2/S1PR1/PTGER4/SYNPO/TACSTD2/EVL/ARHGEF15,30
BP,GO:0043149,stress fiber assembly,30/2867,116/18860,0.258620689655172,1.70128573662245,3.20775411551549,0.0019529993991372,0.0138210516267233,0.0097285001623588,MYOC/FERMT2/RAPGEF3/SORBS1/NRP1/MYL9/RGCC/CORO2B/SFRP1/MET/TACR1/ITGB1BP1/TGFB3/RHPN2/INPP5K/ROCK2/FHDC1/OAZ3/TMEFF2/EPHA1/FAM171A1/RHPN1/DLC1/ZEB2/S1PR1/PTGER4/SYNPO/TACSTD2/EVL/ARHGEF15,30
